text,label,class_name,LLM_label
"Buyer: I see your add for the shelf, I'm getting it for my daughter for her birthday, I am really short on cash, could you take $25?
Seller: I am sorry that is low , I ma lookign to get 40
Buyer: I am really spreadding myself thin, but I can do $28.50
Seller: I think you failed to read my add, I asked that everyoen supply there phone number in replies.
Buyer: I'm sorry, you can call me at 555-555-1234
Seller: Thank for the number. I suppose we can continue to discuss the price on this platform.
Buyer: My daughter really wants this, but I have been out of work for several months and can't afford much. Would you Take $30? That is all I have on me, and I can pick it up today.
Seller: I am sorry to hear of that hard situation. Yes I will take $30.
Buyer: Thanks.",3,furniture,
"Buyer: Hi! I think this is a really neat bike and am very interested in it!
Seller: It is in great condition. It is too big for me. I am asking $250 for the bike and accesories. 
Buyer: Well, given the fact that it only retails for 200, that seems a little high. I am willing to pay 160 since the accessories do not actually work, and it has been used before.
Seller: I would be willing to sell it for $185. 
Buyer: What about 180 and I will come pick it up today?
Seller: Perfect. I will see you later today to pick up the bike. ",0,bike,
"Seller: Hello, I received your e-mail regarding your interest in my '02' Mercedes c240. any questions?
Buyer: Hello, yes I have a few questions. What is the mileage on this car and how long have you owned it?
Seller: I am the first owner of this car, bought it right off the lot. It has only 80k miles and the new michilin tires have seen only 3k miles.I am asking only $4500 for her. 
Buyer: That all sounds pretty good. If I came by tonight would I be able to take it for a test drive? And you would consider taking $4 for it if I paid cash?
Seller: The test drive is okay, the engine purrs like a kitten. I was looking for serious offers only. BUT, I am willing to let her go for $4250. 
Buyer: Do you have a cover for it?
Seller: I sure do and that comes with the vehicle. Not a scratch of ding on it. 
Buyer: Alright I think I can do $4250 if everything checks out
Seller: Come on by for that test drive. I'll e-mail you my address. ",1,car,
"Seller: Hello, I am selling Walnut Slat Bar Stools.  I take it that you are interested?
Buyer: Yes very interested?  how tall are they?
Seller: They are 24 inches
Buyer: are you able to deliver?
Seller: Yes. For the full price of $65 I can deliver.
Buyer: would you accept 45 if I pick them up?
Seller: $55?
Buyer: sure. that will work.",3,furniture,
"Buyer: nice bike dude, what are you asking?
Seller: $40. Built it myself. Has good rims too.
Buyer: nice. i like the color. I only have 30 =though   
Seller: I would take $35
Buyer: 32?
Seller: Sure",0,bike,
Seller: Hi. Interested in my bike?,0,bike,
"Buyer: Hi! I am interested in purchasing this vanity piece!
Seller: Hi, I am glad to hear that, any questions?
Buyer: Yes in fact! Is the glass inside the piece interchangable? I have a great piece of glass that I would like to replace that with!
Seller: I think it may be possible, but I am not sure 100%. If you have the knowledge I would say yes.
Buyer: Awesome! I am willing to offer $40 for the piece. How does that sound?
Seller: That sounds very low for such high quality. i am wanting to make a deal, but I need at least 60.
Buyer: Ok, since the glass is not of my style I am willing to pay $50 and I will also come and pick it up. Ok?
Seller: I suppose I can agree to that.",3,furniture,
"Buyer: Hello. Does this item require batteries and are they included?
Seller: It comes with a wall charger
Buyer: Is this a used item?
Seller: Yes but it is very good condition. I've lowered the price to $50 and I'll even deliver it to you and help you set it up if you'd like.
Buyer: That is a great offer. I'll take it.",2,electronics,
"Buyer: Hey there, this place looks amazing, anything you could tell me about it price, size, and location wise?
Seller: I'm listing this wonderful apartment for $2250. It's a 1 bedroom apartment, you can lease short-term if that's something you'd prefer. It provides great views and it's located in a great location.
Buyer: Okay, that sounds amazing. But the price is a tad bit high for me. Is there any way you guys could do $1800? 
Seller: Unfortunately there is too much demand for this wonderful apartment for me to drop the price that low. Would you consider $2000?
Buyer: Yeah I could do $2000. thanks for being reasonable!",4,housing,
"Buyer: Hello
Seller: Hi. Do you have any questions about the listing?
Buyer: Does the listing include a washer and dryer?
Seller: Yes, we do have washer and dryer hook ups. Any other questions?
Buyer: Is the listing carpeted?
Seller: Yes, most rooms are carpeted but there are some rooms such as the living room that have hardwood floors.
Buyer: Do the garage doors include an opener, or are they manual?
Seller: The garage doors are automatic. Are you still interested?
Buyer: Would you be willing to throw in a free washer and dryer?
Seller: Yes, of course. Would you buy for $2200?
Buyer: Considering the value of the free appliances, yes, I would.",4,housing,
"Buyer: Hello. Has this case been used before?
Seller: No, it's new. 25 bucks is a steal 
Buyer: 25 is bit high for me. Would you be willing to accept 23?
Seller: you know what? only because i'm a nice guy. deal ",5,phone,
"Buyer: Hey there! I really need some samsung 3d glasses, and I saw yours! Are they good quality and will they work 100% with my plasma TV>
Seller: Yes We used them with our plasma TV before our tv broke. They are in good condition I am asking $40 for 4 glasses.
Buyer: Cool! Could I get them for $30 if I come by with cash in a few hours and pick them up? that would work very well with me.
Seller: Could you do $35 we only used them about 5 times and they should still have battery life to them.
Buyer: Yeah that will work. Thanks a lot! I can't wait to use them!",2,electronics,
"Seller: Hey there
Buyer: Hi, I am interested in your 1 bath studio. What condition is this in?
Seller: Its in  a great condition. Everything is very well kept and organized. 
Buyer: I have a child. Do you know if this is located near any schools or parks?
Seller: Yes absolutely. There are many schools and parks around. There is actually a very famous park right nearby. Its a five minute drive. I am sure you will enjoy that!
Buyer: Great! I have an appointment on Monday afternoon. I could give you $947 cash at my appointment. 
Seller: Well I am selling it for $1895. The lowest I can go is $1600
Buyer: Is it move in ready? Are any amenities included with property? 
Seller: Yes its move in ready and we can discuss more about it when we meet on monday if you will
Buyer: Sounds wonderful. If I would be able to move in as soon as possible I could do $1500 cash. 
Seller: That's great! We have a deal then!",4,housing,
"Seller: hello are you interested.
Buyer: love the place
Seller: ?
Buyer: can we work on a lower price
Seller: I have a nice system here and I paid a good price on it I can fancy a few offers but it must be reasonable the price is pretty firm
Buyer: i can do $200
Seller: come on, sorry i was thinking at least $725
Buyer: oh wow
Seller: It has many capabalities and it is a very dependable product make me another offer please.
Buyer: can you do $550
Seller: It still has 30year factory warranty with full operational tech support. It is created by the brightest engineers out there. I can do $675.
Buyer: ok i can afford that price can you have it delivered for me please
Seller: Its gonna cost you $25 more dollars you can pick it up please.
Buyer: i'll pick it up then",2,electronics,
"Buyer: Hi  there how are you?
Seller: I am great how are you tonight?
Buyer: Very well  thanks! What condition is the trunk in?
Seller: The carrier is in perfect shape I think I only used it about 2 or 3 times 
Buyer: Ok that sounds great! However i only have like 7 bucks would you accept that if i threw in a 6 pack of coors?
Seller: Yuck can't stand the stuff it's bud light or nothin for me.  What I could do is knock it down to $12 if you can come get it right away,
Buyer: Lol sounds good man thanks!",0,bike,
"Seller: Hi there.  How are you?
Buyer: I am good. How are you? I see your interested in my table?
Seller: I am good..  Thank you!  
Buyer: Would you like to buy my table?
Seller: Could u tell me more about it?  Any scratches or warping anywhere?
Buyer: No scratches and no marks. The table was there for decoration. It is easy to move, and in like new condition.
Seller: It looks extremely heavy and in great condition!  I could do $350..
Buyer: Deal i will also come to you.
Seller: That sounds awesome.  Thx.",3,furniture,
"Buyer: Hi do you still have the bookcases?
Seller: Yes it's very nice
Buyer: Are they handmade?  They look like they are.
Seller: No they aren't handmade, but have that cool look :)
Buyer: Ok well I do only need 1 would you be willing to take $20?
Seller: I need to relocate to Montana and can't take them but I'll take 40 for both
Buyer: well you did say you would sell them seperate and I don't really have the room for both but if you can do $30 for both I can find somewhere to put the other one.
Seller: Yes 30 is great
Buyer: thank you",3,furniture,
"Buyer: Hi, I am interested in your bike
Seller: Terrific! It is in in pretty darn good condition, no dings or dents or damage. The paint has had a few small scratches that have been touched up.
Buyer: How old is it?
Seller: About 30 years old, it is an Italian Masi, not a California one, so it is pretty special.
Buyer: I have $945 in cash in my wallet. If I come and pick it up myself, will that be enough?
Seller: You know what? I wasn't going to go that low, but what the heck. It's yours!",0,bike,
"Buyer: hi your home is really beautiful 
Seller: Are you interested in the cottage?
Buyer: yes i am, but the price is out of my current budget, are you willing to lower it to 2450
Seller: I really can't go down that low $3,500 is a fair price can you make a serious offer?
Buyer: i was being serious, i mean it doesn't come with electric so i think my offer is pretty reasonable
Seller: Actually the guest cottage is the one that doesn't have any electricity if you look at the listing.
Buyer: ok 2800 can you work with that?, if i bring my own furniture
Seller: That's still too low. How about $3,200
Buyer: 3000 then we have a deal
Seller: 3100 and we have a deal",4,housing,
"Seller: Hello
Buyer: Hey there, I noticed your post about the table. I was looking to make an offer on it, if it is still available. 
Seller: It is still available. Do you have any questions about it?
Buyer: I am short of money, but I would really like to get this table for my daughter's room. Could I offer you 300 for the table?
Seller: Yes of course that works for me.",3,furniture,
"Buyer: Hey, nice phone you have there, how new is it?
Seller: It is brand new, still in the box. It's also unlocked for all carriers.
Buyer: Oh wow, and it's the new seven too, no wonder it's fetching for a pretty penny. You still have all the colors?
Seller: This one is Jet Black but we have Gold, matte and gold. For just $780
Buyer: Well, but there has to be one of those colors that sells less often? My budget's closer to 700 unfortunately :(
Seller: I can do $700, you have a deal.
Buyer: Oh, okay thanks for being so obliging.",5,phone,
"Buyer: Hi! I am very interested in this aparnment. Is it still available?
Seller: It is! It's a great place. Small and quiet and very spacious
Buyer: What are the schools like? Are there any kid friendly areas, such as parks, in the area?
Seller: The schools are great. The elementary school is 3 blocks away. A few playgrounds and there is common area outside the unit. 
Buyer: Great! Do you accept pets?
Seller: We accept cats and small dogs
Buyer: Awesome! What is the going monthly rate?
Seller: The rent is 1900 a month. It's a steal for the area especially you get your own parking
Buyer: That is a bit out of our range, considering we would have to purchase new furniture. 
Seller: It's well worth the money
Buyer: Does it come furnished at all?
Seller: It doesn't come with any furniture but we have picnic benches outside. 
Buyer: What is the security deposit?
Seller: there is a 1 month security deposit
Buyer: Would you be willing to accept half a month security deposit the first month and half the second month?
Seller: Sure
Buyer: Great! I'll take it!",4,housing,
"Seller: Hey there, you're interested in the amp?
Buyer: I am.  Can you tell me how old/new it is?
Seller: It's only about 6 months, my band was beginning to do gigs but we had a falling out. Now I need to sell it because I'm going back to work. What's your budget?
Buyer: $45 seems a little high considering it is used.  How low do you think you can go?  I was thinking about $25
Seller: I can't do that, it's barely used and it needs a good owner like you to crank it up to 11. I've only used it at about 7. I can do 35 lowest.
Buyer: Youre at 35, Im at 25.  How about we just meet in the middle at 30 and let this bad boy start rockin'?",0,bike,
"Buyer: I'm interested in the home you advertised.
Seller: Great, it's an amazing home. I am renting the upstairs bedrooms for $2800. It is in a nice neighborhood and I'm gone half of every month so you'll basically have the place to yourself half the time.
Buyer: It sounds perfect.  Would you be willing to take $2500 a month? 
Seller: If you pass a credit check and have a security deposit then I can accept that offer.",4,housing,
"Buyer: Hello, I'm interested in your apartment home, can you tell me more about it? ",4,housing,
"Buyer: hi, I am very interested in this coat rack!
Seller: Hello. Yes it is quite a conversation piece.",3,furniture,
"Seller: Hello! I have listed the price of the bike at $3450
Buyer: Hi. I'm wondering if you would be willing to accept a price of around $2000 instead. I'd be willing to pick it up from wherever you have it now.
Seller: I cannot go down that low. I'd be willing to knock it down to 3000, and throw in a bikelock with a custom helmet
Buyer: I'm not sure if I'd be interested in the lock and helmet. In what condition is the bike? I see you've written ""brand new"" in the description, and I'd be willing to go up to $2500 if the tires are new and the frame and chain are in good condition.",0,bike,
"Seller: Hello. Thanks for viewing the listing.
Buyer: Hi, I was wondering if you could take $80. I am buying for a nursing home and can't afford much.
Seller: I apologize, but I can't accept $80, as I was really looking to get $100 for it. Would $93 work for you?
Buyer: If we could make it an even $90, we would have a deal.
Seller: Give me $91 and I'll deliver it to you. Deal?
Buyer: Deal, I sent you the offer.",2,electronics,
"Buyer: Hello! I'm very interested in your radio. How would you describe its condition?
Seller: It is very gently used - like new still.
Buyer: Awesome! Do you know if it plays FLAC files, in addition to mp3?
Seller: I honestly don't know if it plays that file format. It does play .mp3 as well as WMA files. It also is compatible with smartphones and usb/sd cards, so it is very flexible.
Buyer: I think I can work with that. My paycheck is late this week, so do you think you'd be able to take $13 for the radio?
Seller: With all of it's features, I honestly believe it would be a good buy at $50 - so I have listed it at quite a good bargain already. I am kind of firm at $15.
Buyer: Would you be able to throw in any freebies or delivery?
Seller: I am guessing my price includes delivery! How can anyone beat this deal?
Buyer: Oh wow! If it's $15 including delivery, I will take it!",2,electronics,
"Seller: Hi! I see you've found my ad!
Buyer: I did. It sounds great. Perfect for me. I do have a service animal.
Seller: That will be no problem. We don't always allow pets but service animals are acceptable as long as they remain orderly
Buyer: She's very orderly. Papers to prove it. Up on all of her shots, too. I would like to inquire about the rent, is it negotiable?
Buyer: I did. It sounds great. Perfect for me. I do have a service animal.
Seller: I'm hoping to receive 1595 but am willing to talk within reason
Buyer: She's very orderly. Papers to prove it. Up on all of her shots, too. I would like to inquire about the rent, is it negotiable?
Buyer: Sounds good. I can work with that. I would like to pay $1400 a month. Is there any way you would accept that?
Seller: How about $1450 and we have a deal?
Buyer: Sounds good. I can work with that. I would like to pay $1400 a month. Is there any way you would accept that?
Buyer: I could go to $1430
Seller: That sounds like a good compromise",4,housing,
"Buyer: that's a nice chaise you got there. the recliner come up to the normal position? 
Seller: Hey there! Yes, the recliner comes back up so you can sit up right like a standard recliner. All of the parts still work on it, we just need to sell it to make more room!
Buyer: yeah totally understandable. tell you what. i can do, 200 for this. cash. i pick it up. you won't have to lift a finger. 
Seller: I'm sorry, but 200 is just a little bit too low from what we paid for it. We'd be willing to get it loaded for you if you could meet at 280
Buyer: ok. still a bit high... i can do, say 250, but really that's the limit for me 
Seller: If you can meet at 270, you have a deal and we'll still load it up for you!
Buyer: alright. 270. deal",3,furniture,
"Seller: Are you in the market for a race bike? Because this one of the top race bikes in the world
Buyer: I might be interested, but the price seems too high.
Seller: How much are you looking to spend?
Buyer: Only about $350 or so
Seller: Ouch...this bike has been well maintained by a pro mechanic for years, it still runs like it's new. This isn't a $350 bike
Buyer: Sorry I don't mean to insult you. It does look like a nice bike. What's the lowest that you are willing to go on it?
Seller: $600 and I'll deliver it to the location of your choice
Buyer: I wish I could say yes but I just can't. It's still a little too high for me. Could you meet me in the middle at $475?
Seller: $550 and you've got a deal
Buyer: I can't do that. I'm going to have to modify it for it to be able to work for me.
Seller: Why's that? And $500, final offer
Buyer: I can do $500.",0,bike,
"Seller: Hi, are you interested in this car
Buyer: I am! Can you tell me the mileage and whether it's been wrecked?
Seller: it has been wrecked but only 40,000 miles on it
Buyer: Thanks. Given the wrecked condition and the higher mileage for a 2015 I think the blue book value is closer to $9,000. Is your price negotiable?
Seller: not for 9,000 I can go down to 12k but no lower
Buyer: Would you consider $11,000 if I pay cash today?
Seller: 11,500 today only that's my lowest
Buyer: Sold",1,car,
"Seller: Glad we can agree!
Buyer: Hi I am interested in this item. Please elaborate more on it?
Seller: 3 bedrooms with extra space!
Buyer: The listing is not about bedroom. It tells me its a vintage rattan trunk?
Seller: Mine says I am a potential buyer of a home! lol
Buyer: Woah! That's crazy I guess we quit it then
Seller: Will we still get our code, or get redirected?! lol
Buyer: I am not sure ",3,furniture,
"Seller: Hi, are you interested in buying my bike?",0,bike,
"Seller: Hi there, are you interested in my property today?
Buyer: Hello I'm interested in this property. Yes have a couple of questions.
Seller: What can I help you with?
Buyer: Are the utlities included here?
Seller: The utilities are included, and wifi as well. This one does not include parking though, it is available for more.
Buyer: How much is the parking per month?
Seller: The parking is an extra $40 a month.
Buyer: Okay, and are pets not allowed at all? Or is there a fee for having a pet?
Seller: I am sorry but pets are not allowed.
Buyer: Okay. Now this is a bit out of my price range budget wise. I'm a professional artist so anything I can save is choice. Is it at all possible to rent this unit for 800. Comparable apartments in the area are running at around 850.
Seller: I am sorry but I could not go lower than $1250 on this high end propert.  It is also close to the downtown area, with amenities. 
Buyer: All I can do is 1000 a month other than that it won't be possible for me, especially with the parking fee as well.
Seller: That is too low , $1250 is my final offer.",4,housing,
"Seller: Hey, you're interested in the bike?
Buyer: I am. My husband an I have been trying to get a tandem for awhile now. We sold our last one when we had kids, now that they are older, we can get back into it. How is the condition? Are you the original owner? Is it road ready? 
Seller: Yeah, this is a spare we kept in a storage unit, and we haven't been on the road in a while. It's definitely road ready.
Buyer: We know our tandem bikes and comps in the area put this one around $135. Would you take that if I picked it up? 
Seller: Oh wow you two have shopped around? Really want it then, 135 is fair. Let's do it.",0,bike,
Seller: Hi are you interested in this product?,5,phone,
"Buyer: I am interested in the bike but 600 is too much as compared to the other models out there, like Zurich
Seller: yes this is a custom model, higher end
Buyer: I know the steel frame is custom but it isn't high end enough to justify that price.  What features does it come with?
Seller: this isn't a street bike, it's for racing. Are you buying it for yourself? how tall are you?
Buyer: I am 72 inches.  I understand what kind of bike it is, that kind of riding is popular where I am from.
Seller: right and I know it's used so i can come down to 500
Buyer: That is still too much for me.  If it doesn't have any other high quality features other than the custom frame $300 is more what I am looking at.
Seller: I'll meet you in the middle at 400 only because I know I'm not going to racing anymore
Buyer: Okay, I am good with that.",0,bike,
,1,car,
"Buyer: Hi I am interested in the furniture
Seller: Hello, thank you for your interest, I will give you some information on it. You are looking at a couch, loveseat, chair and ottoman. It's a great set and very comfortable. 
Buyer: Yes, I can see that it is pretty worn in from the pictures, would you be willing to accept 300 for them?
Seller: it is in great shape, however, I must also mention it does have some staining and because of this I am willing to go lower on the offer so I will accept $300 for it
Buyer: great you have a deal! 300 it is",3,furniture,
"Seller: Good morning!
Buyer: Good morning I an wondering about the receiver.
Seller: What would you like to know?
Buyer: are the speakers in good condition. No buzzing or crackling.
Seller: These speakers sound great! Clear and crisp quality.
Buyer: Are all the connectors and wire included?
Seller: Yes, all cables are included - along with a remote, for ease of use from your favorite chair! 
Buyer: Sounds  nice. Would you come down on the price a bit. I was thinking more like 25$.
Seller: It's a great sound system. I was really hoping to get around $50 for the whole set.
Buyer: I couldn't really go above 35 for it. 
Seller: Do you live here in town?
Buyer: Yes , I am nearby. 
Seller: I could do $40 and deliver it for you, since you're nearby.
Buyer: That seems fair, if you will help me set it up too.
Seller: Sure! That'll be no problem  
Buyer: very good 40$",2,electronics,
"Buyer: Hi there, Im interested in the Schwinn you posted
Seller: Hello! Yes it is a 15"" mountain bike with 21 speeds and grip shift. It is light enough to lift easily.",0,bike,
"Seller: hello
Buyer: Hello I am interested in your listing. Can you tell me a bit about it please?
Seller: sure, all 4 cubes for sale. Lightly used, each comes with a desk and chair. Also, I'll throw in a file cabinet
Buyer: Does the filing cabinet have the key? 
Seller: Absolutely! $500 and they are yours
Buyer: Well the listing price says $400, and I don't really need the filing cabinet if it is going to jump the price up. I was hoping to come down on the price actually.
Seller: Whats your offer?
Buyer: I was thinking about $300 .
Seller: $300 and you have to pick them up.
Buyer: Ok I can do that.",3,furniture,
"Seller: Hello.
Buyer: Hi, what color is this fitbit/",2,electronics,
"Seller: Hello?
Buyer: Hello this is a lovely house. Is the inside nice?",4,housing,
"Buyer: Hi is the bike still for sale?
Seller: Hi, yes it is. It is in good condition, has new shifters rims and brakes. It is missing the rear brake cable though, and has a little bit of surface rust but nothing major.
Buyer: How old is the bike? 
Seller: I've had it for about 5 years now.
Buyer: Since there is some rust and it is a little older, would you mind going down on the price? $198? I would even be willing to go pick it up myself.
Seller: Sure that sounds like a fair price.",0,bike,
"Buyer: Good morning!  I'm interested in your futon chair.  Is it still available?
Seller: Yes! Do you have any questions about my chair?
Buyer: Any issues?  Tears, stains?
Seller: Nope, none at all. It's in excellent condition. I am a bit lazy and used it to mostly just hang clean, dry laundry.
Buyer: Haha...I do the same thing with my treadmill.  I see you're asking $100.  Would you accept $90 if I came and picked it up?
Seller: Absolutely! I'm just thankful to get rid of it and free up space!
Buyer: Awesome...",3,furniture,
"Seller: Hello
Buyer: Hi there
Seller: Interested in this property?
Buyer: Yeah, but it looks like it might need some work that I would have to pay for, so I was hoping I could get it for $850
Seller: I can't do that. It's been updated recently and has stainless steel appliances. It's a beautiful studio in a great neighborhood. 1895 is a steal
Buyer: I can't do that. I could go up to $900, if it helps you out?
Seller: That's crazy. A studio half the size went for 1800. How about 1650? Recently remodeled!
Buyer: It's not the size that I'm basing this on... it's the location and exterior. How about $1000?
Seller: Did I mention it comes with an offshores bank account with 500k? $1750. ;)
Buyer: Wow, that sound shady. How about this... $1050 and I don't report you to the feds? ;)
Seller: LOL. 1400 and you have a deal.
Buyer: Make it 1300 and I'll shake your hand right now
Seller: Alright, deal
Buyer: Awesome, thanks!
Seller: Pleasure doing business with you! ",4,housing,
"Buyer: hi I am interested in your soundstation. can you tell me more about it?
Seller: Well, it's in very good condition, it was used in my office for only a short period of time.  It's practically brand new.  
Buyer: does it work with any phone?
Seller: It should work with any standard telephone, yes
Buyer: ok would you take $46 for it? I will pick it up myself.
Seller: Yes, that sounds reasonable.  Please bring cash, and let's just meet in downtown Berkeley, okay?",2,electronics,
"Buyer: So you'd be willing to take $20?
Seller: yes
Buyer: I can do that!! Thanks.",2,electronics,
"Seller: great deal 50
Buyer: You list price is $39, where do you get $50
Seller: well tips how about 38.00
Buyer: I currently have AT&T and spend $40.  I was looking to pay no more than $35",5,phone,
"Seller: Hi are you interested in my apartment?
Buyer: Hey, this place sounds nice, but a little bit out of my price range. Why should I pay so much for it? 
Seller: East Davis is a very popular right now and this price is pretty consistent with other similar units in the area. There are two bedrooms and two baths so there is plenty of space for two roommates!
Buyer: What's in the area?
Seller: Plenty of cafes, restaurants, and shopping all within 5 blocks! It's a very hot area right now.
Buyer: How does $1200 a month sound?
Seller: I wouldn't be able to take $1200. Like I mentioned, similar units in the area are going for more.
Buyer: I can't go any higher than $1600 without having to find a very fortunate roomate. 
Seller: I'll take $1600.
Buyer: Deal",4,housing,
Seller: Please reconsider your offer!,4,housing,
"Seller: Hey. Can i interest you in some lamps? 
Buyer: Yeah i'm interested....would you be willing to go to a lower price?
Seller: As long as it's reasonable. :)
Buyer: Would you be willing to accept $75?
Seller: I'd probably be persuaded to go with 100.
Buyer: That's a bit out of my price range...how about $85?
Seller: At the 120 range, I was losing money. How close to 100 are you willing to go?
Buyer: Alright...I can go to $90, would that work?
Seller: Split the difference,  you got a deal at 95. That's 25 off. . .
Buyer: Would you be willing to deliver the item to me?
Seller: If you're local. I have a truck, could swing them by. 
Buyer: Yeah i'm local.  It's a deal, $95 and you deliver.  Thanks",3,furniture,
"Buyer: Hey there! Does the iPad have any dents or scratches?
Seller: No it is in like new condition.
Buyer: Do the headphone and charging ports work properly?
Seller: Yes everything works properly.
Buyer: Great. If I pick it up, would you be willing to let it go for $133?
Seller: That is a little lower than I would like.  Can you come up a bit?
Buyer: The highest I can afford is $150, and I'll throw in a new case for your new iPad.",5,phone,
